Name,EPI300_pCC1_ATF1_Ara,EPI300_pCC1_ATF1_Ara_iAAL
"1,3-Dimethyl-3-(2-propyl)azetidine-2,4-dione",,26201
"1,3-Dioxolane, 2-butyl-2-methyl-",1227338,
"1,3-Dioxolane, 2-butyl-2-methyl-",253075,
"1,3-Dioxolane, 2-hexyl-",,137012
"1,3-Dioxolane-2-propanal, 2-methyl-",193346,
"1,3-DIPHENYL-1,3,5,5-TETRAMETHYL-CYCLOTRISILOXANE",23487,
"1,4-Bis[2-[2-(dimethylamino)etoxy]ethenyl]benzene",,15445
"1,4-Butanediamine, 2,3-dimethoxy-N,N,N',N'-tetramethyl-, [S-(R*,R*)]-",391415,
"1,4-Butanediol",152791,
"1,4-Cyclohexanedione",66106,
"1,5,9-Decatriene, 2,3,5,8-tetramethyl-",,206422
"1,5,9-Undecatriene, 2,6,10-trimethyl-, (Z)-",192631,
"1,5-Diazabicyclo[3.2.1]octane",27362,
"1,5-dibromo-2,4-dimethyl-pentane ",3188,
"1,5-Dimethyl-2-pyrrolecarbonitrile",335314,
"1,5-Heptadien-4-one, 3,3,6-trimethyl-",,37938
"1,6,6-Trimethyl-2-(3-furyl)tricyclo[3.4.0.0(2,9)]nonan-3-one",,361643
"1,6-Anhydro-2-chloro-.beta.,D-erythro-hex-3-enpyranose",2928,
"1,7-Dioxaspiro[5.5]undeca-3,10-diene",11574,
"1,9-Decadiene",180026,
"1-(1,3-Dimethyl-1H-pyrazol-4-yl)ethanone",1731804,
1-(1-Hydroxybutyl)-2-methylcyclopropane ,7153,
1-(1-Hydroxycyclohexyl)-1-nonanone,,20090
1-(1-Propynyl)cyclopentanol,360731,
1-(2-Methoxyethenyl)cyclopropane,,14313
"1-(3,5-Dibromo-4-hydroxyphenyl)-3,3-dimethylbutan-2-one",19783,
1-(3-Methylbut-2-enyloxy)butan-2-one,,51389
1-(6-Methoxypyridin-3-yl)but-3-en-1-ol,,77917
1-(Cyclobutylidenyl)propene ,20556,
"1-(FLUOROMETHYLPHENYLSILYL)-2,2,4,4,6,6-HEXAMETHYLCYCLOTRISILAZANE",207863,
1-(p-Methoxyphenyl)-3-phenyloxy-4-oxoazetidine-2-N-benzylN-methylenenitrone,,159214
1-(p-Methoxyphenyl)-3-phenyloxy-4-oxoazetidine-2-N-benzylN-methylenenitrone,,24561
1-(p-Tolyl)ethyl acetate ,,12560
"1-(Pent-4-ynyl)pyrano[3,4-b]indol-3-one",,34499
1-(Pentachlorophenylsulfanyl)hex-5-en-2-one,82868,
1-(Phenylsulphinylmethyl)cyclododecene,,12865
1-[(Phenylethyl)thio]-1-(methylthio)-2-nitroethene,,19934
"1-acetoxy-3,3-dimethyl-2-butanone ",,215550
1-Acetyl-2-(isobutanoyl)ethylene,154221,
1-Acetyl-3-n-butyl[1]staffane,,17605
1-benzoyl-2-(dimethylamino)propane,,45831
"1-Benzyloxy-2,6-dimethyl-8-(tetrahydropyran-2-yloxy)-(2E,6E)-2-octadiene",30815,
1-bromo-1-chloropentane ,941893,
"1-Butanamine, N,N-dimethyl-",9500,
"1-Butanol, 3-methyl-",,9296760
1-butylethanoate,,219037
1-Chloro-3-pentan-4-one cyclopentane,,224287
1-Cyclobutylcyclopropanol,,6121
1-Cyclopentyl-3-acetoxypropan-1-one,,97513
1-Decanol,112865,
1-Decyn-4-ol,37524,
1-Ethyl-1-(2-oxopropyl)cyclopentane,22102,
1-Heptadecanol,43126,
1-Heptanol,194384,
"1-Heptanol, 2,4-dimethyl-,",,645314
"1-Hydroxymethyl-6-methyl-5,7,8-trimethoxy-1,2,3,4-tetrahydroisoquinoline",,9271
1-Isopropyl-2-((phenylthio)methyl)cyclopentene,20537,
1-Isoquinolinecarbonitrile,250773,
1-METHOXY-1-(TRICHLORMETHYL)CYCLOPENTANE,,1263
1-methoxy-2-aminocarbonyl-1-aza-cyclopropane,,8420
1-Methoxy-4-(phenylethynyl)benzene,230049,
1-Methoxycarbonyl-2-methylimidazole,,91219
1-Methyl-1-nitrocyclohexane,,61463
"1-Methyl-1H-1,2,4-triazole",,13627
"1-Methyl-3,5-dioxo-4-oxa-9-thiatricyclo[5.3.0.0(2,6)]decane 9,9-dioxide",3287,
