Name,EPI300_pCC1_ATF1_noAra,EPI300_pCC1_ATF1_Ara
3-cyano-1-methoxymethoxyhept-2-ene,220377,
Methyl ester of 3-methyl-1-phenylpyrazole-4-carboxylic acid,11409,
"1,4-Diazido-2,5-dimethylcyclohexane",27504,
"1,4-diphenylbut-3-ene-2-ol",86312,
"3-Methylbut-2-enoic acid, 2-dimethylaminoethyl ester",848968,
3-(1-Methylpyrrolyl)-3-azoacetone,71164,
"(E)-1,3-Bis(1-hydroxycyclohexyl)propene",175504,
"(Z)-3-Deuterio-N-(2-deuteriomethyl-3,3-dimethylbutyl)-2-methylallylamine",57487,
"2,5-Dimethyl-4-vinyl-hex-5-en-2,3-diol",96416,
"5-Methyl-5-( 2'-propynyloxy)-1,2-octadien-7-yn-4-one",105693,
4-Pyridinecarboxamide,211489,
"(1R,2S)-1,2-Dimethoxy-1,2-diphenylethane",1114669,
"5-oxo-5,6-secocholest-3-en-6-oic acid",90455,
"3,3-dimethylpentane-2,4-dione ",145405,
[5-methyl-3-(3-butenyl)]isoxazole ,135743,
"(3R*,4R*)-3,4-Epoxy-7-hydroxy-1-phenylhept-1-yne",14288,
"3-[(N,N-Diethylamino)carbonyl]-5-methylpyrazole",12511,
"5-hydroxy-1-deutero-1,2-pentadiene",72013,
"N,N-Diethyl-3-(2-pyridyl)-3-oxo-propionamide",3414,
4-Isopropyloxazolidin-2-one,12874,
Chromafenozide,7810558,
"3-(t-Butyl)-4,4-dimethyl-1-penten-3-ol",559216,
"1,3-Propanediamine, N'-(ethylcarbonimidoyl)-N,N-dimethyl-",1575489,
"(R,R)-(+)-3-(2-Oxopyrrolidin-3-yl)butanoic acid",1232011,
"trans-1,4-Diacetoxy-2-butene",1237032,
"Octa-1,3,7-triene-3,4-oxide",867861,
Ethyl 4-Methylheptanoate,1050271,
"1,2-Ethanediol, monoacetate",940950,
[(E)-1-butyl-2-hex-2-enylidene]cyanamide,533580,
"2-Hydroxy-5-methylcyclohepta-2,4,6-trien-1-one",373270,
"(2R,5R)-2-tert-Butyl-5-(N,N-dimethylaminomethyl)-1-aza-3-oxabicyclo[3.3.0]oc...",163247,
"[3-Amino-1,2,2-trimethylcyclopentyl]methyl acetate",98853,
"Butane, 2-isocyanato-",116312,
4-Methyl-3-propylpyrrolidin-2-one,44178,
(Z)-3-Methoxy-1-(4-chlorophenyl)-1-(methylseleno)propene,18143,
"1,3-Benzenediol, o-(2-methoxybenzoyl)-o'-propargyloxycarbonyl-",50336,
3-Ethyl-2-methyl-2-heptanol,267980,
"trans-2,4-Bis(tert-butyldimethylsilyl)-1,3-dithietan-1,1,3,3-tetraoxide",24123,
Methyl propargyl ether,359214,
