Name,EPI300_pCC1_ATF1_Ara,EPI300_pCC1_ATF1_Ara_iAAL
"1-(FLUOROMETHYLPHENYLSILYL)-2,2,4,4,6,6-HEXAMETHYLCYCLOTRISILAZANE",412427,
1-(Pentachlorophenylsulfanyl)hex-5-en-2-one,164421,
1-Acetyl-2-(isobutanoyl)ethylene,305994,
"1-Benzyloxy-2,6-dimethyl-8-(tetrahydropyran-2-yloxy)-(2E,6E)-2-octadiene",61141,
1-bromo-1-chloropentane ,1868835,
"1-Butanamine, N,N-dimethyl-",18849,
1-Decanol,223938,
1-Decyn-4-ol,74452,
1-Ethyl-1-(2-oxopropyl)cyclopentane,43853,
1-Heptadecanol,85567,
1-Heptanol,385683,
1-Isopropyl-2-((phenylthio)methyl)cyclopentene,40748,
1-Isoquinolinecarbonitrile,497565,
1-Methoxy-4-(phenylethynyl)benzene,456446,
"1-Methyl-3,5-dioxo-4-oxa-9-thiatricyclo[5.3.0.0(2,6)]decane 9,9-dioxide",6522,
"1-Methyl-3-(3,4-dimethoxyphenyl)-6,7-dimethoxyisochromene",348002,
1-Methyl-5-nitro-4-phenylsulfonylimidazole,163615,
"1-Methylamino-4,4-dimethylazetidin-2-one",21948,
1-n-Hexylcyclooctanol ,324024,
1-Nonanol,184341,
1-Penten-3-one,24903,
1-pentylethanoate,885730,
"1-tert-Butyl-4,4,4-trichloro-3-(1-methylcyclopentyl)-1,2,4-azaphosphavanada(...",2214696,
10-Methoxydec-8-yn-7-one,17883,
18-HYDROXY-5-epi-HYRTIOPHENOL - DIACETATE,85395,
"1H-1,2,4-Triazol-5-amine, 1-propyl-",224238,
1H-Imidazole-4-methanol,282619,
"1H-pyrrole,-1-(4-hydroxy-1-oxobutyl)-",79171,
"2,2,4,4-Tetramethyl-3-thietanthione",52516,
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",245482,
"2,2,5,5-Tetradeuteriomethoxycyclohexane",31667,
"2,2-Difluoro-2-methylthio-1-(2-pyridyl)ethanol",12599,
"2,2-Dimethyl-4-(1'-aminoethyl)-1,3-dioxolane",995433,
"2,3,3a,4,7,7a-Hexahydro-5-methylind-5-en-1-one ethylene ketal",60226,
"2,3,4,5-Tetrahydro-7,8-dimethoxy-N-(trifluoroacetyl)-[(Z)-2-(trimethylsilyl)...",190175,
"2,3,4-Trimethyl-1-pentanol",2865925,
"2,3-Dicyano-hexahydropyrrolo[1,2-b]isoxazol-4-ol",6496,
"2,3-Dihydro-2-methyl-5-ethylfuran",367389,
"2,3-Dimethyl-1-hexene",656776,
"2,3-Octanedione",246732,
"2,4-Bis(methylethyl)-2-methyl-2,5-dihydro-1H-imidazole",81280,
"2,4-Bis(methylethyl)-2-methyl-2,5-dihydro-1H-imidazole",152188,
"2,4-Bis(pyrazol-1'-yl)-3,5,6-trifluoropyridine",117690,
"2,4-Dihydroxybenzaldehyde, 2TMS derivative",12536851,
"2,4-Dimethyl-6-(prop-1-enyl-1)-1,3-dioxan",98192,
"2,4-DIONE-1,3-BENZODIOXAN",60786,
"2,4-Pentadienyl 3-butenoate",170831,
"2,5-Dimethyl-4-mercaptohexene",59145,
"2,6-Octadiene",120391,
2-((E)-1-Hydroxy-2-butenyl)cyclopentanone,163724,
2-(1'-BROMO-1'-METHYLETHYL)PYRIMIDINE ,60157,
2-(1-Hydroxy-2-oxopropyl)cyclobutanone,409679,
"2-(2-Pyridyl)-3-(trimethylsilyl)-5,6,7,8-tetrahydroquinoline",3363179,
2-(4-Methyl-3-oxocyclohex-4-enyl)propan-2-ol,336520,
2-(Allylamino)ethanol,426976,
2-(Dibromomethyl)tetrahydropyran,22639,
"2-(diphenylphosphinoyl)-5,5-dimethyl-1,3-dioxane",59040,
2-(Formylamino)-2-methyl-N-(4'-nitrooxycyclohexyl)-propionylamide,29379,
2-(Triethylsiloxy)octadecane,1653946,
2-[(2-Methyl-endo-2-norbornyl)oxy]-tetrahydropyran,44571,
"2-[2-(1,3-Dioxolanyl)methyl]bicyclo[2.2.1]heptan-1-one",202688,
"2-[2-(2-Hydroxyethoxy)propyl]-1,3-dioxolane",25911,
"2-Amidoxime-3-nitroimidazo[1,2-a]pyridine",5230,
"2-Benzyl-1.3-diethyl-4,6-diphenyl-1,3,2-diazaphosphorinane - 2-oxide",31800,
"2-Butanol, 3-methyl-",249552,
2-Cumyladamantane,9653,
2-cyano-5-methoxypent-1-ene ,11911792,
"2-Ethyl-3,5-dimethylpyridine",158411,
"2-Fluoro-1-iodo-2,4-dimethylhexane",128363,
"2-Heptanone, 5-methyl-",13628393,
"2-Hexanone, 3,4-dimethyl-",297278,
"2-Methoxy-6-phenyl-6,6a,7,8-tetrahydro-9aH-furo[3,2-c]quinoline isomer",37754,
