Name,EPI300_pCC1_ATF1_noAra,EPI300_pCC1_ATF1_iAAL
"1-Methyl-6,8-dioxabicyclo[3.2.1]octane",,15307
1-Methylcyclopropanecarbaldoxime,,7365
1-Nitro-2-(but-3-enyl)cyclohexane,23518,
"1-O-Acetyl-2-azido-2,3,6-trideoxy-.alpha.-DL-ribo-hexopyranose",9933,
"1-oxa-2-methyl-2-((1,4-dioxacyclohex-2-yl)methyl)cyclobutane",,77771
"1-Pentene, 4,4-dimethyl-",,430637
"1-Propanol, 3-(methylthio)-",95156,
"1-Propanone, 1-phenyl-3-[2-(phenylmethoxy)phenyl]-",,122875
"1-Propene, 2-methyl-",217964,
"1-Propene, 3-fluoro-",318554,
1-pyrazolecarboxamide,,
"1-tert-Butyl-1,4-dihydro-4-(1-methylethyl)-5H-tetrazol-5-one",,
"1-Undecene, 4-methyl-",,428667
10-Methoxydec-8-yn-7-one,5485,
"10-Octadecenoic acid, methyl ester",54183,
10-Undecen-1-ol,124372,
"1H-1,2,4-Triazole-3,5-dicarbaldehyde",,11755
"1H-Indole, 2,3-dihydro-4-methyl-",56246,
"1H-Pyrazole, 4,5-dihydro-3-methyl-",,263427
"1h-pyrrole-3,4-dicarbonitrile,2,3-dihydro-5-methyl-",,4482
"2(3H)-Furanone, dihydro-5-propyl-",46333,
"2,2'-Bi-1,3-dioxolane",,294516
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",,279374
"2,2,5,5-Tetradeuteriomethoxycyclohexane",4013,
"2,2,5,5-Tetramethylhexane-3,4-diol",244668,
"2,2,6,6-Tetramethylheptane",,22368
"2,2,6-Trimethyl-4H-1,3-dioxin-4-one",2525002,
"2,2-dichloro-1,1,1-trifluro-4-phenyl-3-pentanol",,41907
"2,2-diethyl-1-germa-2-silabutane",,
"2,2-dimethyl-1-nitropropane",,
"2,2-Dimethyl-3-(1'-methyl-1'-propenyl)cyclobutane-1-ethyl formate",29088,
"2,2-Dimethyl-5-(3-methyl-2,2-pentamethylenehexahydropyrimidin-1-ylmethylene)...",,39584
"2,2-Dimethylpropanoic anhydride",21841,
"2,3,3a,4,7,7a-Hexahydro-1H-benzimidazol-2-one",,6952
"2,3,4-Trimethyl-2-pentanol",412625,
"2,3,4-Trimethyl-5-hexen-3-ol",355301,
"2,3,5,7,15-Pentaacetoxy-8-(tigloyloxy)-9,14-dioxo-Jatropha-6(17),11(E)-diene",4108,
"2,3-bis(Methylamino)butanedinitrile",,128888
"2,3-dihydroxypyrazine",,36617
"2,3-Dimethyl-2,3-butanediol cyclic carbonate",4923,
"2,3-Dimethylsuccinodinitrile",65682,
"2,3-Pyridinedicarboxylic acid",,31890
"2,4,6-Cycloheptatrien-1-one, 2-hydroxy-",,914095
"2,4-dimethyl-4-formyl-2-butenolide",,271126
"2,4-DIONE-1,3-BENZODIOXAN",,25124
"2,4-Pentanedione, ion(1-), lithium",,1960641
"2,5-Anhydro-3,4,6-trideoxy-6-azido-D-iditol",14122,
"2,5-Dihydro-3,4-dimethylthiophene 1-oxide",20483,
"2,5-Dimethyl-2,2'-bistetrahydrofuran",,
"2,5-Dimethyl-4-vinyl-hex-5-en-2,3-diol",51872,
"2,5-Dimethylhexane-2,5-dihydroperoxide",4217153,
"2,5-Hexanediol, 2,5-dimethyl-",71511,
"2,5-Pyrrolidinedione, 1-methyl-",,103647
"2,6-Diisopropylfuran",36868,
"2,6-Dimethylhepta-1,5-diene-5,5-dicarbonitrile",48161,
