Name,EPI300_pCC1_ATF1_noAra,EPI300_pCC1_ATF1_iAAL
6-n-Butyltetrahydropyran-2-one,21768,
"7-Methoxy-2,3-bis(methoxycarbonyl)-1-(2-chloro-4-pyridyl)-6-(cyclopentyloxy)...",33963,
7.ALPHA.-METHACRYLOYLOXY- OR -TIGLINOYLOXY-9.BETA.-METHACRYCOYLOXY-OR -TIGLI...,39171,
9-Hydroxyinalool,119829,
[(acetonyloxy)methyl]-15-crown-5,269178,
[(E)-1-butyl-2-hex-2-enylidene]cyanamide,533580,
"[1R-(1.alpha.,2.alpha.,6.alpha.)]3,7,7-Trimethylbicyclo[3.1.1]hept-3-ene-2-t...",105420,
"[3-Amino-1,2,2-trimethylcyclopentyl]methyl acetate",98853,
Acetic acid,6883180,
"Acetic acid, dodecyl ester",14435,
"Acetic acid, nonyl ester",691190,
Acetonitrile-d3,190859,
Allyl Butyl Ether,270704,
"anti-4-Ethoxy-4,5-dihydro-5-methoxy-5-methyl-2(3H)-furanone",119558,
Benzene,2152017,
"Benzene, 1,3-dimethyl-",151801,
"Benzene, [(cyclohexyloxy)methyl]-",10823,
"Benzene, isocyanato-",79476,
"Benzenemethanol, 4-methyl-",1968009,
"Benzoic acid, 2,5-bis(trimethylsiloxy)-, trimethylsilyl ester",56745,
"Benzoic acid, methyl ester",2387677,
"Benzonitrile, 4-(chloromethyl)-; 3-Cyanobenzylchloride; 4-(Chloromethyl)benzonitrile #",71238050,
Bicyclo[2.2.2]oct-5-en-2-one,24197,
Bis(1-norbornyl)mercury,70229,
"Bis(3,4-dimethoxycinnamoyl)-L-tartaric acid",14552634,
Bis(4-methylpiperazin-1-yl)methane,2609941,
Butanal,27862,
"Butane, 1-chloro-",1729859,
"Butane, 2-isocyanato-",116312,
"Butane, 2-methoxy-2-methyl-",372859,
"Butanoic acid, 2-methylcyclohexyl ester, cis-",172771,
"Butanoic acid, 3-methyl-",465608,
Butyl trifluoroacetate,181693,
"Carbonic acid, monoamide, N-propyl-, benzyl ester",152773,
Chromafenozide,7810558,
cis-2-[Bis(4-bromophenyl)methyl]-N-[3-(4-methoxyphenyl)methyl]-1-azabicyclo[...,93217,
cis-2-Carbomethoxy-4-[(1-chloro-1-methyl)ethyl]terahydrofuran,125788,
cis-3-[(1Z)-Butenyl]-2-vinyltetrahydrofuran,13167,
CROTONIC ANHYDRIDE,99074,
Cyanopyrazine,1887271,
"Cycloheptasiloxane, tetradecamethyl-",1985866,
"Cyclohexanone, 3-methyl-",33429,
"Cyclohexene, 1-methoxy-",73414,
"Cyclononasiloxane, octadecamethyl-",483520,
"Cyclopentane, 1-ethyl-2-methyl-",388017,
"Cyclopentanone, 2,4,4-trimethyl-",2365138,
Cyclopropane,300822,
Cyclopropylmethyl cyclopropane-1-carboxylate,11918,
"Cyclotrisiloxane, hexamethyl-",604284,
Dec-1-en-4-ol,27361,
"diethyl 2,6-dimethyl-4-(3-pyridazinyl)-1,4-dihydropyridine-3,5-dicarboxylate",33152,
Diisobutyl cellosolve,245052,
"Dimethyl 1,3,3-trimethylcyclobutan-1-ol-2,4-dicarboxylate",4465,
Dimethyl Sulfoxide,253760,
dispiro[3.0.3.3]undecane-9-one,89006,
"Disulfide, dihexyl",158178,
"Disulfide, dimethyl",16027214,
"DL-2,3-Butanediol",291619,
ENDO-2-AMINO-9-OXABICYCLO(3.3.1)NON-6-ENE,203366,
"Ethanamine, 2-(methylseleno)-",926792,
"Ethanol, 2-(3,3-dimethylcyclohexylidene)-",274333,
"Ethanone, 1-(2,3,4-trimethylphenyl)-",196727,
"Ether,1- propenyl propyl",1101656,
Ethyl 2-Nonylacrylate,170593,
Ethyl 2-oxirane-2-acetate,51336,
"Ethyl 4-(chloromethylene)-2,2-diphenyl-3-oxazoline-5-carboxylate",786775,
Ethyl 4-Methylheptanoate,1050271,
Ethyl 9-tetradecenoate,1974426,
Ethyl amino(phenyl)acetate,2680952,
Ethylene glycol monoisobutyl ether,266730,
exo-3-(Phenylsulfonyl)bicyclo[3.2.1]octan-8-one,217019,
